time,db,mem,slot,peers,bps
1601464333,1688992,98000896,0,0,
1601464341,1688992,98807808,0,0,
1601464342,1688992,99348480,0,1,
1601464343,1688992,99348480,0,1,
1601464344,1688992,99348480,0,1,
1601464345,1688992,99348480,0,1,
1601464346,1688992,99348480,0,1,
1601464347,1688992,99348480,0,1,
1601464348,1688992,99348480,0,1,
1601464349,1688992,99348480,0,1,
1601464350,1688992,99348480,0,1,
1601464351,1688992,99348480,0,1,
1601464352,1688992,100245504,0,1,
1601464353,1944432,103665664,14,1,
1601464355,2208112,106876928,31,1,
1601464356,2208112,106909696,31,1,
1601464357,2208112,106909696,31,1,
1601464358,2208112,106909696,31,1,
1601464359,2208112,106909696,31,1,
1601464360,2208112,106909696,31,1,
1601464361,2208112,107065344,31,1,
1601464362,2208112,107098112,31,1,
1601464363,4082712,141598720,38,1,
1601464364,7724584,141656064,57,1,
1601464366,7724584,141676544,63,1,
1601464367,7724584,141709312,63,1,
1601464368,7724584,146653184,74,1,
1601464369,7724584,146739200,94,1,
1601464371,7724584,146747392,95,1,
1601464372,11440016,160526336,98,1,
1601464374,11440016,160526336,118,1,
1601464375,11440016,160526336,127,1,
1601464376,11440016,160526336,127,1,
1601464377,11440016,160776192,132,1,
1601464378,11440016,160776192,146,1,
1601464380,11440016,160808960,156,1,
1601464381,11440016,160808960,156,1,
1601464382,11440016,160882688,156,1,
1601464383,15579016,165646336,173,1,
1601464384,15579016,167256064,189,1,
1601464386,15579016,167268352,191,1,
1601464387,15579016,184176640,194,1,
1601464388,15579016,184246272,213,1,
1601464390,15579016,184246272,223,1,
1601464391,15579016,184246272,223,1,
1601464392,19585840,185946112,229,1,
1601464393,19585840,185958400,245,1,
1601464395,19585840,185999360,253,1,
1601464396,19585840,185999360,253,1,
1601464397,19585840,184463360,260,1,
1601464398,19585840,184463360,280,1,
1601464400,19585840,184463360,287,1,
1601464401,19585840,184463360,287,1,
1601464402,23575992,189624320,294,1,
1601464404,23575992,189644800,313,1,
1601464405,23575992,189644800,319,1,
1601464406,23575992,189644800,319,1,
1601464407,23575992,189644800,319,3,
1601464408,23575992,189644800,319,5,
1601464409,23575992,189644800,319,5,
1601464410,23575992,189644800,319,5,4.14285714285714
1601464411,23575992,189870080,319,6,4.55714285714286
1601464412,23575992,189870080,319,6,4.55714285714286
1601464413,23575992,189870080,319,6,4.55714285714286
1601464414,23575992,189870080,319,6,4.55714285714286
1601464415,23575992,189870080,319,8,4.55714285714286
1601464416,23575992,189870080,319,9,4.55714285714286
1601464417,23575992,189771776,326,9,4.65714285714286
1601464419,23575992,189771776,342,8,4.8169014084507
1601464420,23967368,195399680,354,8,4.98591549295775
1601464422,23967368,195657728,363,8,5.04166666666667
1601464423,23967368,195735552,376,9,5.22222222222222
1601464424,23967368,201248768,389,9,5.40277777777778
